id,created_at,text,retweet_count,like_count,reply_count,quote_count
1891885401880645712,2025-02-18 16:20:03+00:00,"After Amazon announced its acceptance of payment in #Pi currency, given that the PI network is the fastest, compliant with all international laws, and accepted in 160 countries...and is not manipulated by whales like Bitcoin
#PINetwork",0,0,0,0
1891885395165544667,2025-02-18 16:20:02+00:00,@Cryptic_Web3 @Mubadala @BlackRock 7th largest holder of blackRock's Bitcoin ðŸ˜² this is nice,0,0,0,0
1891885392988721657,2025-02-18 16:20:01+00:00,"I just claimed my ZCX tokens using the Zenchain Testnet Faucet! ðŸš€ Get yours now and start building on the most secure Bitcoin Layer 1.

 https://t.co/F9yXTbf8oO

 #Zenchain #Crypto #Blockchain",0,0,0,0
1891885392640585987,2025-02-18 16:20:01+00:00,"@Bitcoin Btc old man.
Pi network Young man with Young spirit",0,0,0,0
1891885392363770287,2025-02-18 16:20:01+00:00,"@PeterSchiff ðŸ¥´ ""There are plenty of other tokens with the same properties as bitcoin""",0,0,0,0
1891885387284468188,2025-02-18 16:20:00+00:00,"#Oil companies already invest in energy efficiency. 

#Bitcoin #mining is just offering an additional tool to optimize gas use while reducing #environmental impact.

It's also the best tool for it...",0,1,0,0
1891885386521293107,2025-02-18 16:20:00+00:00,"Agree or disagree? 

ðŸš€ ðŸ“ˆ â‚¿ ðŸ”¥ Bitcoin's primary function is not a ""store of value""; rather, a form of 100% autonomous property ownership 

#Bitcoin $IBIT $FBTC #BTC $BTC #HODL #defi #stacksats #ETH #fintech #satoshi #Crypto #blockchain #Cryptocurrency https://t.co/DirlaATg5n",0,1,0,0
1891885384650444870,2025-02-18 16:19:59+00:00,"@parabolickevin Make sure you Join Dan Cheung channel to stay ahead with Charts, Calls, Market Analysis, Strategies, exclusive investment ideas and trading insights on #Bitcoin, #Crypto, and the #StockMarket.
Say HiðŸ‘‹ here to join
ðŸ‘‡ðŸ‘‡ðŸ‘‡
https://t.co/h8YePr1g2Q",0,0,0,0
1891885382314217656,2025-02-18 16:19:59+00:00,@Vivek4real_ Bullish news for #Bitcoin!,0,1,0,0
1891885375393759451,2025-02-18 16:19:57+00:00,"@namk5516 The S&amp;P 500 is rebounding, flirting with 6115 points despite inflation and trade worries. Meanwhile, #Bitcoin is nearing its ATH! Are we seeing bullish vibes in the market? What's your take on where this sentiment is headed? #BTC ðŸš€ðŸ“Š",0,0,0,0
